DateTimeUT,"Exposure Time","Exposure Meter Counts"
"2020-03-16 13:10:27",916.099,91485320
"2020-03-16 13:10:30",920.309,91485768
"2020-03-16 13:10:34",923.482,91486176
"2020-03-16 13:10:38",927.272,91486664
"2020-03-16 13:10:42",931.063,91487104
"2020-03-16 13:10:46",935.146,91487616
"2020-03-16 13:10:49",939.356,93405200
"2020-03-16 13:10:53",942.435,96286368
"2020-03-16 13:10:55",946.226,96286624
"2020-03-16 13:16:08",0,0
"2020-03-16 13:16:11",0,400
"2020-03-16 13:16:15",3.782,4806195
"2020-03-16 13:16:19",7.573,4806725
"2020-03-16 13:16:23",11.364,4807172
"2020-03-16 13:16:27",15.155,4807616
"2020-03-16 13:16:30",19.055,4808047
"2020-03-16 13:16:34",22.735,4808518
"2020-03-16 13:16:38",26.526,4808961
"2020-03-16 13:16:42",30.317,4809426
"2020-03-16 13:16:46",34.109,4809866
"2020-03-16 13:16:49",38.102,4810331
"2020-03-16 13:16:53",41.689,4810695
"2020-03-16 13:16:57",45.48,4811160
"2020-03-16 13:17:01",49.271,4811655
"2020-03-16 13:17:04",53.061,9636627
"2020-03-16 13:17:08",56.852,9637190
"2020-03-16 13:17:12",60.642,9637676
"2020-03-16 13:17:16",64.432,9638087
"2020-03-16 13:17:20",68.263,9638531
"2020-03-16 13:17:23",72.064,9638963
"2020-03-16 13:17:27",75.854,9639444
"2020-03-16 13:17:31",79.646,9639905
"2020-03-16 13:17:35",83.436,9640384
"2020-03-16 13:17:39",87.227,9640887
"2020-03-16 13:17:42",91.018,9641367
"2020-03-16 13:17:46",94.808,9641802
"2020-03-16 13:17:50",98.599,9642258
"2020-03-16 13:17:54",102.39,14452247
"2020-03-16 13:17:58",106.18,14452800
"2020-03-16 13:18:01",110.029,14453253
"2020-03-16 13:18:05",113.761,14453710
"2020-03-16 13:18:09",117.552,14454155
"2020-03-16 13:18:13",121.343,14454646
"2020-03-16 13:18:17",125.133,14455092
"2020-03-16 13:18:20",129.076,14455559
"2020-03-16 13:18:24",132.715,14456035
"2020-03-16 13:18:28",136.506,14456495
"2020-03-16 13:18:32",140.297,14456973
"2020-03-16 13:18:36",144.087,14457456
"2020-03-16 13:18:39",147.877,14457911
"2020-03-16 13:18:43",151.668,19257172
"2020-03-16 13:18:47",155.459,19257774
"2020-03-16 13:18:51",159.29,19258256
"2020-03-16 13:18:54",163.08,19258774
"2020-03-16 13:18:58",166.871,19259232
"2020-03-16 13:19:02",170.662,19259704
"2020-03-16 13:19:06",174.453,19260224
"2020-03-16 13:19:10",178.283,19260676
"2020-03-16 13:19:13",182.074,19261156
"2020-03-16 13:19:17",185.865,19261606
"2020-03-16 13:19:21",189.655,19261992
"2020-03-16 13:19:25",193.446,19262496
"2020-03-16 13:19:29",197.236,19262952
"2020-03-16 13:19:32",201.027,24083716
"2020-03-16 13:19:36",204.818,24084228
"2020-03-16 13:19:40",208.609,24084688
"2020-03-16 13:19:44",212.439,24085156
"2020-03-16 13:19:48",216.23,24085628
